Frame,Time,PELO_X,PELO_Y,PELO_Z,PELP_X,PELP_Y,PELP_Z,LKJC_X,LKJC_Y,LKJC_Z,LHJC_X,LHJC_Y,LHJC_Z,LAJC_X,LAJC_Y,LAJC_Z,RHJC_X,RHJC_Y,RHJC_Z,RKJC_X,RKJC_Y,RKJC_Z,RAJC_X,RAJC_Y,RAJC_Z,LTOO_X,LTOO_Y,LTOO_Z,RTOO_X,RTOO_Y,RTOO_Z,TRXO_X,TRXO_Y,TRXO_Z,TRXP_X,TRXP_Y,TRXP_Z
1,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,179.570175170898,-3665.27758789062,1356.98681640625,179.649200439453,-3662.419921875,1161.34252929688
2,0.02,180.913757324219,-3790.4306640625,867.689880371094,186.940658569336,-3751.60473632812,994.310180664062,115.652336120605,-3775.36401367188,498.949310302734,114.693511962891,-3790.59497070312,870.684204101562,140.44987487793,-3808.25415039062,72.4390640258789,247.134002685547,-3790.26513671875,864.695617675781,0,0,0,0,0,0,107.401512145996,-3662.50146484375,59.8364753723145,0,0,0,178.529205322266,-3660.41528320312,1357.46508789062,178.974990844727,-3657.74584960938,1161.80639648438
3,0.03,180.695449829102,-3784.51025390625,868.180053710938,186.286331176758,-3745.4833984375,994.758422851562,0,0,0,114.468223571777,-3784.84765625,871.000854492188,0,0,0,246.922622680664,-3784.1728515625,865.359008789062,0,0,0,0,0,0,0,0,0,0,0,0,177.239990234375,-3654.2490234375,1357.98706054688,178.136077880859,-3651.81860351562,1162.30859375
4,0.04,180.399429321289,-3776.98291015625,868.608032226562,185.50032043457,-3737.82397460938,995.166320800781,114.126739501953,-3782.34423828125,499.363616943359,114.165863037109,-3777.53369140625,871.239624023438,140.77848815918,-3811.29638671875,73.3464431762695,246.632995605469,-3776.43237304688,865.976501464844,325.419921875,-3740.5732421875,505.217620849609,296.541229248047,-3908.02514648438,159.940734863281,106.767333984375,-3665.76611328125,60.7387580871582,0,0,0,175.76513671875,-3647.00024414062,1358.48913574219,177.171417236328,-3644.85009765625,1162.78564453125
5,0.05,180.028289794922,-3768.16064453125,868.904357910156,184.635101318359,-3728.92944335938,995.459350585938,114.262901306152,-3777.89379882812,499.705413818359,113.790161132812,-3768.95434570312,871.353210449219,140.465393066406,-3809.90234375,73.3710784912109,246.266357421875,-3767.3662109375,866.455261230469,0,0,0,0,0,0,105.947425842285,-3664.50073242188,60.656551361084,0,0,0,174.176895141602,-3638.94311523438,1358.90893554688,176.126205444336,-3637.1015625,1163.17517089844
6,0.06,179.587692260742,-3758.42895507812,869.014038085938,183.747192382812,-3719.15625,995.571594238281,114.301055908203,-3773.49877929688,499.998107910156,113.347702026367,-3759.48291015625,871.309692382812,0,0,0,245.827621459961,-3757.37475585938,866.718139648438,321.269897460938,-3709.17602539062,505.516540527344,290.611907958984,-3841.49291992188,143.163284301758,0,0,0,337.605926513672,-3715.42626953125,70.0913696289062,172.540756225586,-3630.3330078125,1359.193359375,175.040802001953,-3628.81494140625,1163.42407226562
7,0.07,179.084487915039,-3748.15356445312,868.900390625,182.885467529297,-3708.83374023438,995.45458984375,114.284851074219,-3769.23510742188,500.237457275391,112.845703125,-3749.47094726562,871.090942382812,140.366760253906,-3809.29956054688,73.588737487793,245.323287963867,-3746.83520507812,866.709838867188,0,0,0,0,0,0,104.758636474609,-3664.13403320312,61.1882362365723,0,0,0,170.908248901367,-3621.37158203125,1359.30346679688,173.949203491211,-3620.17822265625,1163.49377441406
8,0.08,178.52555847168,-3737.625,868.542419433594,182.086883544922,-3698.21850585938,995.076599121094,114.252838134766,-3765.07080078125,500.427124023438,112.290908813477,-3739.2001953125,870.688720703125,140.174713134766,-3808.07934570312,73.5864791870117,244.760162353516,-3736.0498046875,866.396057128906,309.819976806641,-3671.03784179688,504.761688232422,286.811004638672,-3769.11083984375,126.376945495605,104.048271179199,-3663.03662109375,61.2451248168945,328.024932861328,-3627.96533203125,83.7146835327148,169.315612792969,-3612.2021484375,1359.21508789062,172.875061035156,-3611.32348632812,1163.35974121094
9,0.09,177.916534423828,-3727.05249023438,867.930786132812,181.376617431641,-3687.4931640625,994.420043945312,114.22785949707,-3760.92163085938,500.570251464844,111.688896179199,-3728.869140625,870.102111816406,139.973968505859,-3806.79663085938,73.5603713989258,244.144119262695,-3725.23486328125,865.75927734375,300.595397949219,-3646.982421875,504.847412109375,285.628692626953,-3730.86645507812,118.16185760498,103.37060546875,-3661.86889648438,61.2763862609863,343.894989013672,-3600.44506835938,63.0620193481445,167.785446166992,-3602.91259765625,1358.91479492188,171.83479309082,-3602.32690429688,1163.0087890625
10,0.1,177.262939453125,-3716.56372070312,867.063903808594,180.770568847656,-3676.765625,993.476928710938,114.218589782715,-3756.69580078125,500.665893554688,111.045051574707,-3718.6015625,869.334167480469,139.734848022461,-3805.40356445312,73.5079574584961,243.480773925781,-3714.52490234375,864.793395996094,292.392883300781,-3620.68530273438,506.101379394531,285.298065185547,-3692.43090820312,110.75309753418,102.719520568848,-3660.57788085938,61.2525444030762,374.115814208984,-3595.79931640625,31.921293258667,166.330123901367,-3593.54760742188,1358.39794921875,170.839782714844,-3593.224609375,1162.43603515625
11,0.11,176.5703125,-3706.22509765625,865.945190429688,180.278656005859,-3666.08984375,992.245849609375,114.224899291992,-3752.31372070312,500.708526611328,110.365028381348,-3708.46044921875,868.390563964844,139.437637329102,-3803.90405273438,73.4334335327148,242.77555847168,-3703.98999023438,863.499816894531,0,0,0,0,0,0,102.100143432617,-3659.16284179688,61.1607437133789,0,0,0,164.954895019531,-3584.1201171875,1357.66564941406,169.897216796875,-3584.02221679688,1161.64282226562
12,0.12,175.844863891602,-3696.05908203125,864.5810546875,179.907577514648,-3655.48168945312,990.729553222656,114.242378234863,-3747.71630859375,500.689636230469,109.655349731445,-3698.46557617188,867.27783203125,0,0,0,242.034301757812,-3693.65161132812,861.884033203125,0,0,0,0,0,0,0,0,0,0,0,0,163.661010742188,-3574.62475585938,1356.72326660156,169.012878417969,-3574.71044921875,1160.63464355469
13,0.13,175.094818115234,-3686.0546875,862.979797363281,179.661560058594,-3644.9287109375,988.933288574219,114.265472412109,-3742.86840820312,500.599975585938,108.924957275391,-3688.60815429688,866.003479003906,0,0,0,241.264617919922,-3683.5,859.955932617188,0,0,0,0,0,0,0,0,0,0,0,0,162.447738647461,-3565.04541015625,1355.57836914062,168.190948486328,-3565.27099609375,1159.41906738281
14,0.14,174.33154296875,-3676.18383789062,861.153015136719,179.543197631836,-3634.40747070312,986.867126464844,114.289680480957,-3737.75415039062,500.430694580078,108.186050415039,-3678.8623046875,864.575317382812,0,0,0,240.477035522461,-3673.50561523438,857.730407714844,0,0,0,0,0,0,0,0,0,0,0,0,161.314041137695,-3555.3623046875,1354.240234375,167.435760498047,-3555.685546875,1158.00610351562
15,0.15,173.5712890625,-3666.408203125,859.116882324219,179.551910400391,-3623.89013671875,984.547729492188,114.312911987305,-3732.37036132812,500.174285888672,107.455680847168,-3669.19140625,863.00244140625,0,0,0,239.68684387207,-3663.625,855.231262207031,0,0,0,0,0,0,0,0,0,0,0,0,160.259307861328,-3545.55444335938,1352.71875,166.751342773438,-3545.93774414062,1156.40551757812
16,0.16,172.835220336914,-3656.68041992188,856.894287109375,179.682540893555,-3613.34790039062,982.001647949219,114.336227416992,-3726.72412109375,499.824768066406,106.755683898926,-3659.5517578125,861.294738769531,0,0,0,238.91471862793,-3653.80834960938,852.493835449219,0,0,0,0,0,0,0,0,0,0,0,0,159.283721923828,-3535.60278320312,1351.02575683594,166.141448974609,-3536.01513671875,1154.62976074219
17,0.17,172.149978637695,-3646.947265625,854.515747070312,179.924240112305,-3602.75512695312,979.267822265625,114.364120483398,-3720.8251953125,499.378051757812,106.112579345703,-3649.8955078125,859.463928222656,0,0,0,238.18733215332,-3643.99853515625,849.567260742188,0,0,0,0,0,0,0,0,0,0,0,0,158.38850402832,-3525.48950195312,1349.173828125,165.610076904297,-3525.9091796875,1152.69226074219
18,0.18,171.546844482422,-3637.15356445312,852.019165039062,180.259719848633,-3592.09204101562,976.397583007812,114.404098510742,-3714.68505859375,498.832214355469,105.556579589844,-3640.17114257812,857.523071289062,0,0,0,237.537094116211,-3634.13598632812,846.515258789062,0,0,0,0,0,0,0,0,0,0,0,0,157.575698852539,-3515.201171875,1347.17724609375,165.160339355469,-3515.6162109375,1150.60815429688
19,0.19,171.059219360352,-3627.2412109375,849.450256347656,180.665222167969,-3581.34204101562,973.456176757812,114.466079711914,-3708.31298828125,498.187896728516,105.118637084961,-3630.32470703125,855.486938476562,0,0,0,236.999801635742,-3624.15673828125,843.413269042969,0,0,0,0,0,0,0,0,0,0,0,0,156.847915649414,-3504.72216796875,1345.05297851562,164.795059204102,-3505.1328125,1148.39501953125
20,0.2,170.720260620117,-3617.150390625,846.858459472656,181.112503051758,-3570.48999023438,970.516296386719,114.561088562012,-3701.71630859375,497.448791503906,104.828277587891,-3620.30151367188,853.371948242188,0,0,0,236.612258911133,-3613.99829101562,840.344787597656,0,0,0,0,0,0,0,0,0,0,0,0,156.208435058594,-3494.041015625,1342.81799316406,164.516296386719,-3494.45727539062,1146.07067871094
21,0.21,170.560653686523,-3606.82446289062,844.295532226562,181.571075439453,-3559.5224609375,967.655700683594,114.699989318848,-3694.89965820312,496.621948242188,104.711624145508,-3610.04956054688,851.195678710938,0,0,0,236.409698486328,-3603.5986328125,837.395141601562,0,0,0,0,0,0,0,0,0,0,0,0,155.660949707031,-3483.14624023438,1340.49328613281,164.326248168945,-3483.58862304688,1143.65783691406
22,0.22,170.606536865234,-3596.20947265625,841.811401367188,182.011535644531,-3548.42504882812,964.949768066406,114.89168548584,-3687.86401367188,495.718048095703,104.790054321289,-3599.51879882812,848.977416992188,0,0,0,236.423034667969,-3592.90014648438,834.645385742188,0,0,0,0,0,0,0,0,0,0,0,0,155.209350585938,-3472.02758789062,1338.10107421875,164.225433349609,-3472.5244140625,1141.17944335938
23,0.23,170.878356933594,-3585.25830078125,839.451843261719,182.409027099609,-3537.18334960938,962.46533203125,115.141593933105,-3680.609375,494.751190185547,105.079917907715,-3588.66528320312,846.736755371094,0,0,0,236.676727294922,-3581.85009765625,832.166687011719,0,0,0,0,0,0,0,0,0,0,0,0,154.857635498047,-3460.6748046875,1335.66540527344,164.215087890625,-3461.26098632812,1138.66088867188
24,0.24,171.39030456543,-3573.92797851562,837.254150390625,182.745544433594,-3525.77709960938,960.254089355469,115.450065612793,-3673.13134765625,493.737670898438,105.593017578125,-3577.45166015625,844.493713378906,0,0,0,237.187576293945,-3570.4033203125,830.014587402344,0,0,0,0,0,0,0,0,0,0,0,0,154.610061645508,-3449.07934570312,1333.21276855469,164.294769287109,-3449.79272460938,1136.13024902344
25,0.25,172.149978637695,-3562.18627929688,835.246520996094,183.012237548828,-3514.18432617188,958.349304199219,115.811164855957,-3665.42309570312,492.695465087891,106.336601257324,-3565.84887695312,842.267761230469,0,0,0,237.963287353516,-3558.52270507812,828.22509765625,0,0,0,0,0,0,0,0,0,0,0,0,154.470703125,-3437.23193359375,1330.77136230469,164.465057373047,-3438.11206054688,1133.61657714844
26,0.26,173.157760620117,-3550.0107421875,833.445190429688,183.211761474609,-3502.38134765625,956.76123046875,116.211982727051,-3657.4765625,491.643096923828,107.313484191895,-3553.837890625,840.077941894531,143.942626953125,-3798.8876953125,81.8410186767578,239.002014160156,-3546.18237304688,826.812194824219,0,0,0,0,0,0,102.885406494141,-3657.0361328125,55.6268463134766,0,0,0,154.443435668945,-3425.12670898438,1328.3701171875,164.72541809082,-3426.21142578125,1131.15051269531
27,0.27,174.40625,-3537.38916015625,831.854797363281,183.35758972168,-3490.34057617188,955.478332519531,116.632873535156,-3649.2783203125,490.598358154297,108.520851135254,-3541.41040039062,837.942565917969,143.687469482422,-3796.73754882812,82.7763824462891,240.291610717773,-3533.3681640625,825.76708984375,0,0,0,0,0,0,103.162605285645,-3655.09716796875,54.6585884094238,0,0,0,154.531829833984,-3412.7578125,1326.0390625,165.075927734375,-3414.0810546875,1128.76306152344
28,0.28,175.879547119141,-3524.32543945312,830.469848632812,183.473388671875,-3478.03686523438,954.470458984375,117.048324584961,-3640.80688476562,489.576568603516,109.949119567871,-3528.57055664062,835.879516601562,143.452407836914,-3794.95166015625,84.073600769043,241.809982299805,-3520.07934570312,825.059936523438,0,0,0,0,0,0,103.488128662109,-3653.59326171875,53.8179359436035,0,0,0,154.738784790039,-3400.1220703125,1323.80932617188,165.515258789062,-3401.71069335938,1126.486328125
29,0.29,177.553909301758,-3510.83227539062,829.275207519531,183.590377807617,-3465.44213867188,953.692810058594,117.428733825684,-3632.03393554688,488.590576171875,111.581199645996,-3515.333984375,833.906494140625,143.216522216797,-3793.4052734375,85.7536468505859,243.526550292969,-3506.32958984375,824.643737792969,0,0,0,0,0,0,103.805557250977,-3652.43139648438,53.0727005004883,0,0,0,155.066070556641,-3387.21850585938,1321.70959472656,166.04362487793,-3389.09204101562,1124.35021972656
