Frame	Time	PELO_X	PELO_Y	PELO_Z	PELP_X	PELP_Y	PELP_Z	LKJC_X	LKJC_Y	LKJC_Z	LHJC_X	LHJC_Y	LHJC_Z	LAJC_X	LAJC_Y	LAJC_Z	RHJC_X	RHJC_Y	RHJC_Z	RKJC_X	RKJC_Y	RKJC_Z	RAJC_X	RAJC_Y	RAJC_Z	LTOO_X	LTOO_Y	LTOO_Z	RTOO_X	RTOO_Y	RTOO_Z	TRXO_X	TRXO_Y	TRXO_Z	TRXP_X	TRXP_Y	TRXP_Z
1	0.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	179.5701752	-3665.277588	1356.986816	179.6492004	-3662.419922	1161.342529
2	0.02	180.9137573	-3790.430664	867.6898804	186.9406586	-3751.604736	994.3101807	115.6523361	-3775.364014	498.9493103	114.693512	-3790.594971	870.6842041	140.4498749	-3808.25415	72.43906403	247.1340027	-3790.265137	864.6956177	0	0	0	0	0	0	107.4015121	-3662.501465	59.83647537	0	0	0	178.5292053	-3660.415283	1357.465088	178.9749908	-3657.74585	1161.806396
3	0.03	180.6954498	-3784.510254	868.1800537	186.2863312	-3745.483398	994.7584229	0	0	0	114.4682236	-3784.847656	871.0008545	0	0	0	246.9226227	-3784.172852	865.3590088	0	0	0	0	0	0	0	0	0	0	0	0	177.2399902	-3654.249023	1357.987061	178.1360779	-3651.818604	1162.308594
4	0.04	180.3994293	-3776.98291	868.6080322	185.5003204	-3737.823975	995.1663208	114.1267395	-3782.344238	499.3636169	114.165863	-3777.533691	871.239624	140.7784882	-3811.296387	73.34644318	246.6329956	-3776.432373	865.9765015	325.4199219	-3740.573242	505.2176208	296.5412292	-3908.025146	159.9407349	106.767334	-3665.766113	60.73875809	0	0	0	175.7651367	-3647.000244	1358.489136	177.1714172	-3644.850098	1162.785645
5	0.05	180.0282898	-3768.160645	868.9043579	184.6351013	-3728.929443	995.4593506	114.2629013	-3777.893799	499.7054138	113.7901611	-3768.954346	871.3532104	140.4653931	-3809.902344	73.37107849	246.2663574	-3767.366211	866.4552612	0	0	0	0	0	0	105.9474258	-3664.500732	60.65655136	0	0	0	174.1768951	-3638.943115	1358.908936	176.1262054	-3637.101563	1163.175171
6	0.06	179.5876923	-3758.428955	869.0140381	183.7471924	-3719.15625	995.5715942	114.3010559	-3773.498779	499.9981079	113.347702	-3759.48291	871.3096924	0	0	0	245.8276215	-3757.374756	866.7181396	321.2698975	-3709.176025	505.5165405	290.611908	-3841.49292	143.1632843	0	0	0	337.6059265	-3715.42627	70.09136963	172.5407562	-3630.333008	1359.193359	175.040802	-3628.814941	1163.424072
7	0.07	179.0844879	-3748.153564	868.9003906	182.8854675	-3708.83374	995.4545898	114.2848511	-3769.235107	500.2374573	112.8457031	-3749.470947	871.0909424	140.3667603	-3809.299561	73.58873749	245.323288	-3746.835205	866.7098389	0	0	0	0	0	0	104.7586365	-3664.134033	61.18823624	0	0	0	170.9082489	-3621.371582	1359.303467	173.9492035	-3620.178223	1163.493774
8	0.08	178.5255585	-3737.625	868.5424194	182.0868835	-3698.218506	995.0765991	114.2528381	-3765.070801	500.427124	112.2909088	-3739.200195	870.6887207	140.1747131	-3808.079346	73.58647919	244.7601624	-3736.049805	866.3960571	309.8199768	-3671.037842	504.7616882	286.8110046	-3769.11084	126.3769455	104.0482712	-3663.036621	61.24512482	328.0249329	-3627.965332	83.71468353	169.3156128	-3612.202148	1359.215088	172.875061	-3611.323486	1163.359741
9	0.09	177.9165344	-3727.05249	867.9307861	181.3766174	-3687.493164	994.4200439	114.2278595	-3760.921631	500.5702515	111.6888962	-3728.869141	870.1021118	139.9739685	-3806.796631	73.5603714	244.1441193	-3725.234863	865.7592773	300.5953979	-3646.982422	504.8474121	285.6286926	-3730.866455	118.1618576	103.3706055	-3661.868896	61.27638626	343.894989	-3600.445068	63.06201935	167.7854462	-3602.912598	1358.914795	171.8347931	-3602.326904	1163.008789
10	0.1	177.2629395	-3716.563721	867.0639038	180.7705688	-3676.765625	993.4769287	114.2185898	-3756.695801	500.6658936	111.0450516	-3718.601563	869.3341675	139.734848	-3805.403564	73.50795746	243.4807739	-3714.524902	864.793396	292.3928833	-3620.685303	506.1013794	285.2980652	-3692.430908	110.7530975	102.7195206	-3660.577881	61.2525444	374.1158142	-3595.799316	31.92129326	166.3301239	-3593.547607	1358.397949	170.8397827	-3593.224609	1162.436035
